Days,PANDEM2 Outputs.confirmed cases,Hospital.total in hospital,Hospital.hospital admissions,Hospital.hospital discharges,Hospital.ICU admissions,Hospital.ICU discharges,Hospital.deaths in hospital,Hospital Resources.Beds,Hospital Resources.occupied ward beds,Hospital.physical ward beds available,Hospital.expected beds freed,Hospital.Patients Waiting for Ward Bed,Hospital.In Ward Overflow,Hospital.physical ward beds needed,Hospital.physical ward beds gap,Hospital Resources.max available nurses,Hospital Resources.Absent Nurses,Hospital Resources.Nurses,Hospital Resources.occupied nurses,Hospital Resources.available nurses,Hospital Resources.expected nurses freed,Hospital Resources.total nurses needed for incoming patients,Hospital Resources.nurses gap,Hospital Resources.extra staff needed for overflow patients,Hospital Resources.staffed ward beds available,Hospital Resources.staffed ward beds needed,Hospital Resources.staffed ward beds gap,Hospital.ward admissions,Hospital.moving to ward overflow,Hospital Resources.ICU Beds,Hospital Resources.occupied ICU beds,Hospital.physical ICU beds available,Hospital.expected ICU beds freed,Hospital.Patients Waiting for ICU,Hospital.In ICU Overflow,Hospital.physical ICU beds needed,Hospital.physical ICU beds gap,Hospital Resources.max available ICU nurses,Hospital Resources.Absent ICU Nurses,Hospital Resources.ICU Nurses,Hospital Resources.occupied ICU nurses,Hospital Resources.available ICU nurses,Hospital Resources.expected ICU nurses freed,Hospital Resources.total ICU nurses needed for incoming patients,Hospital Resources.ICU nurses gap,Ventilators.ventilators in stock,Ventilators.ventilators in use,Ventilators.ventilators available,Ventilators.expected ventilators freed,Ventilators.ventilators needed for incoming ICU patients,Ventilators.gap in ventilators,Hospital Resources.staffed equipped ICU beds available,Hospital Resources.staffed equipped ICU beds needed,Hospital Resources.staffed equipped ICU beds gap,Hospital.moving to ICU overflow,Hospital.at risk of dying from lack of ICU,PPE.PPE,PPE.PPE needed,PPE.PPE gap,PPE.total PPE used,PPE.interrupted PPE supply,Hospital.Total needed ICU,Hospital.Total ICU admissions,Hospital.Total needed Ward Bed,Hospital.Total Ward admissions,Hospital.Potential deaths due to lack of ICU,Hospital.total deaths,Hospital.peak ICU demand,Hospital.peak demand ICU beds,Hospital.peak demand ICU nurses,Hospital.peak demand ventilators,Hospital.peak ward demand,Hospital.peak demand ward beds,Hospital.peak demand nurses,Hospital.peak demand PPE,Hospital Resources.activate surge strategy 1,Hospital Resources.activate surge strategy 2,PPE.activate surge strategy 3,Hospital Resources.activate surge strategy 4
1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,12500,0.0,12500.0,0.0,0.0,0.0,0.0,0,1500,0,1500,0.0,1500.0,0.0,0.0,0.0,0.0,7500.0,0.0,0.0,0.0,0.0,2500,0.0,2500.0,0.0,0.0,0.0,0.0,0,750,0,750,0.0,750.0,0.0,0.0,0.0,2000,0.0,2000.0,0.0,0.0,0,1500.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,0.335600272713,0.000628113912985,0.00522058725933,2.49005827368e-05,4.1359472855e-05,4.23925861357e-07,1.1136233959e-06,12500,0.0001042956345,12499.9998957,8.66341912405e-07,0.00047313243668,0.0,0.00047313243668,0,1500,0,1500,2.08591269e-05,1499.99997914,1.73268382481e-07,9.4626487336e-05,0.0,0.0,7499.9998957,0.00047313243668,0.0,0.00047313243668,0.0,2500,9.3263689498e-06,2499.99999067,2.92941936312e-08,4.1359472855e-05,0.0,4.1359472855e-05,0,750,0,750,4.6631844749e-06,749.999995337,1.46470968156e-08,2.06797364275e-05,0.0,2000,5.2227666119e-06,1999.99999478,1.64047484335e-08,2.31613047988e-05,0,1499.99999067,4.1359472855e-05,0.0,0.0,0.0,43105.6014295,0.000704142675692,0.0,0.000153297419282,0,5.08358959335e-05,9.4764230785e-06,0.000581866283337,0.000108733846657,0.0,1.8239136644e-07,4.12498171159e-05,4.12498171159e-05,2.06249085579e-05,2.30998975849e-05,0.000459075439994,0.000459075439994,9.18150879989e-05,0.000562199982784,0,0,0,0
3,0.294232449992,0.00409895160376,0.00942492583289,0.00030444552904,0.000221537316703,5.4407552431e-06,1.39171574761e-05,12500,0.00127516451954,12499.9987248,2.57528429681e-05,0.00248255315217,0.0,0.00248255315217,0,1500,0,1500,0.000255032903908,1499.99974497,5.1505685936e-06,0.000496510630433,0.0,0.0,7499.99872484,0.00248255315217,0.0,0.00248255315217,0.0,2500,0.000119696615349,2499.9998803,9.04033034887e-07,0.000221537316703,0.0,0.000221537316703,0,750,0,750,5.98483076747e-05,749.999940152,4.52016517443e-07,0.000110768658352,0.0,2000,6.70301045957e-05,1999.99993297,5.06258499537e-07,0.000124060897354,0,1499.9998803,0.000221537316703,0.0,0.0,0.0,43737.34311,0.00461080250184,0.0,0.00237222150589,0,0.000346040676428,0.000124503359725,0.00389474845099,0.00141219529883,0.0,5.7250839929e-06,0.000303572816269,0.000303572816269,0.000151786408134,0.000170000777111,0.00319299195074,0.00319299195074,0.000638598390147,0.00395192399141,0,0,0,0
4,0.319513292077,0.0108489198348,0.0133972489646,0.00106135262456,0.000502835571427,2.00978595503e-05,4.98405508747e-05,12500,0.0044454560191,12499.9955545,0.000145328619064,0.00545847533415,0.0,0.00545847533415,0,1500,0,1500,0.00088909120382,1499.99911091,2.90657238128e-05,0.00109169506683,0.0,0.0,7499.99555454,0.00545847533415,0.0,0.00545847533415,0.0,2500,0.000442152910107,2499.99955785,5.3332766106e-06,0.000502835571427,0.0,0.000502835571427,0,750,0,750,0.000221076455053,749.999778924,2.6666383053e-06,0.000251417785713,0.0,2000,0.00024760562966,1999.99975239,2.9866349019e-06,0.000281587919999,0,1499.99955785,0.000502835571427,0.0,0.0,0.0,43737.3352089,0.0122664025571,0.0,0.0102732635893,0,0.000974477436495,0.000471641865069,0.0107092031361,0.00525072780193,0.0,3.43134655448e-05,0.000856819014998,0.000856819014998,0.000428409507499,0.000479818648399,0.00844665189775,0.00844665189775,0.00168933037955,0.0105886994352,0,0,0,0
5,0.385758378459,0.0204916688151,0.0176988022965,0.00232852191949,0.000846679560036,4.69568357407e-05,0.00011269734555,12500,0.00975297139052,12499.990247,0.000442212864726,0.00885896747824,0.0,0.00885896747824,0,1500,0,1500,0.0019505942781,1499.99804941,8.84425729451e-05,0.00177179349565,0.0,0.0,7499.99024703,0.00885896747824,0.0,0.00885896747824,0.0,2500,0.0010330503863,2499.99896695,1.70430688311e-05,0.000846679560036,0.0,0.000846679560036,0,750,0,750,0.000516525193148,749.999483475,8.5215344155e-06,0.000423339780018,0.0,2000,0.000578508216326,1999.99942149,9.5441185454e-06,0.00047414055362,0,1499.99896695,0.000846679560036,0.0,0.0,0.0,43737.318032,0.0233112637346,0.0,0.0274501712921,0,0.00197782628308,0.00113114672304,0.021168369167,0.0123094016888,0.0,0.00011134792308,0.0017138457014,0.0017138457014,0.000856922850701,0.000959753592786,0.0158020472826,0.0158020472826,0.00316040945653,0.0200866615361,0,0,0,0
6,0.483587053921,0.0327712197155,0.022761725304,0.00406418336146,0.00124637330356,8.73482150042e-05,0.00020300863958,12500,0.0170227575349,12499.9829772,0.000981212344089,0.012580428147,0.0,0.012580428147,0,1500,0,1500,0.00340455150698,1499.99659545,0.000196242468818,0.0025160856294,0.0,0.0,7499.98297724,0.012580428147,0.0,0.012580428147,0.0,2500,0.00192166073009,2499.99807834,3.98042454288e-05,0.00124637330356,0.0,0.00124637330356,0,750,0,750,0.000960830365046,749.99903917,1.99021227144e-05,0.000623186651779,0.0,2000,0.00107613000885,1999.99892387,2.22903774401e-05,0.000697969049993,0,1499.99807834,0.00124637330356,0.0,0.0,0.0,43737.2883225,0.037523270766,0.0,0.0571596864745,0,0.00340658027677,0.00216020697321,0.0355272708833,0.0229468427364,0.0,0.00026408222515,0.00289328261023,0.00289328261023,0.00144664130512,0.00162023826173,0.0250184656836,0.0250184656836,0.00500369313672,0.0322516722092,0,0,0,0
7,0.612330273356,0.0477926267724,0.0289654729876,0.00624516944076,0.00171513540739,0.000142645148991,0.000321806753207,12500,0.0261577777624,12499.9738422,0.00180787234496,0.0167815203248,0.0,0.0167815203248,0,1500,0,1500,0.00523155555247,1499.99476844,0.000361574468992,0.00335630406496,0.0,0.0,7499.97384222,0.0167815203248,0.0,0.0167815203248,0.0,2500,0.0031381932778,2499.99686181,7.72046008661e-05,0.00171513540739,0.0,0.00171513540739,0,750,0,750,0.0015690966389,749.998430903,3.86023004331e-05,0.000857567703696,0.0,2000,0.00175738823557,1999.99824261,4.3234576485e-05,0.000960475828139,0,1499.99686181,0.00171513540739,0.0,0.0,0.0,43737.2428678,0.0550726198001,0.0,0.102614357963,0,0.00533485046002,0.00361971505263,0.0543399368382,0.0375584165133,0.0,0.000520319970332,0.00443415282025,0.00443415282025,0.00221707641013,0.00248312557934,0.0361718225441,0.0361718225441,0.00723436450882,0.0472572045947,0,0,0,0
8,0.776280439432,0.0660207232787,0.0366928752425,0.00890114436986,0.00227658051828,0.000214902828506,0.000472232375956,12500,0.0372822800832,12499.9627177,0.00295969808403,0.02173400045,0.0,0.02173400045,0,1500,0,1500,0.00745645601664,1499.99254354,0.000591939616806,0.00434680009001,0.0,0.0,7499.96271772,0.02173400045,0.0,0.02173400045,0.0,2500,0.00472786222713,2499.99527214,0.000132838613584,0.00227658051828,0.0,0.00227658051828,0,750,0,750,0.00236393111357,749.997636069,6.6419306792e-05,0.00113829025914,0.0,2000,0.00264760284719,1999.9973524,7.4389623607e-05,0.00127488509024,0,1499.99527214,0.00227658051828,0.0,0.0,0.0,43737.1780957,0.0765273873968,0.0,0.167386458796,0,0.00786574874412,0.00558916822584,0.0784952574873,0.0567612570372,0.0,0.000909816976304,0.006399273355,0.006399273355,0.0031996366775,0.0035835930788,0.0496199255791,0.0496199255791,0.00992398511583,0.0656181089666,0,0,0,0
9,0.983030930554,0.0882373787886,0.0463712827592,0.0121187855874,0.00296105064811,0.000307152866677,0.000659982759796,12500,0.0507593113609,12499.9492407,0.00447873908098,0.0277596537127,0.0,0.0277596537127,0,1500,0,1500,0.0101518622722,1499.98984814,0.000895747816196,0.00555193074254,0.0,0.0,7499.94924069,0.0277596537127,0.0,0.0277596537127,0.0,2500,0.0067573630669,2499.99324264,0.000210639194969,0.00296105064811,0.0,0.00296105064811,0,750,0,750,0.00337868153345,749.996621318,0.000105319597484,0.00148052532406,0.0,2000,0.00378412331746,1999.99621588,0.000117957949183,0.00165818836294,0,1499.99324264,0.00296105064811,0.0,0.0,0.0,43737.0896947,0.102814999361,0.0,0.255787549694,0,0.0111360114087,0.00817496076062,0.109232347898,0.0814726941849,0.0,0.00146665314168,0.00887738968514,0.00887738968514,0.00443869484257,0.00497133822368,0.0659543904242,0.0659543904242,0.0131908780848,0.0881478646371,0,0,0,0
10,1.2429285935,0.115517959185,0.0585051589898,0.016037792872,0.00380528203992,0.000423588511413,0.000893429482268,12500,0.0671740015583,12499.932826,0.00642167622241,0.0352197283361,0.0,0.0352197283361,0,1500,0,1500,0.0134348003117,1499.9865652,0.00128433524448,0.00704394566722,0.0,0.0,7499.932826,0.0352197283361,0.0,0.0352197283361,0.0,2500,0.00931894725108,2499.99068105,0.000315239016245,0.00380528203992,0.0,0.00380528203992,0,750,0,750,0.00465947362554,749.995340526,0.000157619508123,0.00190264101996,0.0,2000,0.00521861046061,1999.99478139,0.000176533849097,0.00213095794235,0,1499.99068105,0.00380528203992,0.0,0.0,0.0,43736.9722654,0.135204303122,0.0,0.373216765216,0,0.0153220544308,0.0115167723909,0.148173216772,0.112953488436,0.0,0.00223185084683,0.011986422529,0.011986422529,0.00599321126448,0.00671239661621,0.0859778404595,0.0859778404595,0.0171955680919,0.115943896782,0,0,0,0
