SFO,LAX,13744
LAX,SFO,13457
JFK,LAX,12016
LAX,JFK,12015
LAS,LAX,9715
LGA,ORD,9639
LAX,LAS,9594
ORD,LGA,9575
SFO,JFK,8440
JFK,SFO,8437
OGG,HNL,8313
HNL,OGG,8282
LAX,ORD,8256
ATL,LGA,8234
LGA,ATL,8215
ATL,MCO,8202
MCO,ATL,8202
SFO,LAS,7995
ORD,LAX,7941
LAS,SFO,7870
DFW,ORD,7870
SEA,LAX,7765
LAX,SEA,7732
BOS,DCA,7687
DCA,BOS,7686
ORD,DFW,7677
ATL,FLL,7419
FLL,ATL,7411
PHX,LAX,7380
SFO,ORD,7380
ORD,SFO,7378
LAX,PHX,7330
DEN,PHX,7211
PHX,DEN,7204
LGA,BOS,7100
BOS,LGA,7096
TPA,ATL,7083
ATL,TPA,7076
DFW,ATL,7060
ATL,DFW,7056
SAN,SFO,6942
SFO,SEA,6932
SFO,SAN,6917
SEA,SFO,6845
LAX,DFW,6649
DFW,LAX,6634
PHL,ATL,6621
ATL,PHL,6608
ORD,BOS,6558
BOS,ORD,6551
ATL,ORD,6493
ATL,DCA,6466
DCA,ATL,6461
ORD,ATL,6391
HNL,KOA,6390
ANC,SEA,6383
SEA,ANC,6382
ORD,MSP,6361
KOA,HNL,6347
LAX,SJC,6341
SJC,LAX,6339
MIA,LGA,6318
LGA,MIA,6308
CLT,ATL,6307
ATL,CLT,6306
HOU,DAL,6296
MSP,ORD,6296
LAX,OAK,6288
OAK,LAX,6281
DEN,LAS,6269
LAS,DEN,6265
DAL,HOU,6262
SLC,DEN,6184
DEN,DFW,6135
DFW,DEN,6058
ORD,DCA,5924
DCA,ORD,5922
DEN,SLC,5859
HNL,LIH,5856
LIH,HNL,5855
ATL,BWI,5838
BWI,ATL,5837
PHX,SEA,5770
SEA,PHX,5768
LAX,DEN,5750
DEN,LAX,5688
LAX,ATL,5673
ATL,LAX,5669
ORD,DEN,5613
MSY,ATL,5593
SMF,LAX,5574
ATL,MSY,5572
DEN,ORD,5567
LAX,SMF,5550
SLC,LAX,5549
LAX,SLC,5538
MSP,DEN,5508
DEN,MSP,5504
PHX,LAS,5499
LAS,PHX,5499
PHX,SLC,5485
SLC,PHX,5479
DEN,SFO,5365
JFK,MCO,5349
MCO,JFK,5346
PHL,BOS,5317
BOS,PHL,5313
FLL,LGA,5307
LGA,FLL,5304
HNL,LAX,5244
LAX,HNL,5238
MIA,ATL,5150
ATL,MIA,5149
DEN,SEA,5139
SAN,PHX,5123
ATL,JAX,5106
PHX,SAN,5105
SEA,DEN,5099
EWR,ATL,5097
JAX,ATL,5096
ATL,EWR,5091
DEN,ATL,5082
SFO,DEN,5066
BOS,JFK,5044
JFK,BOS,5040
EWR,SFO,5029
LAS,SEA,5028
SFO,EWR,5025
SEA,LAS,5009
ATL,DEN,4987
PHL,MCO,4869
MCO,PHL,4867
PHX,SFO,4863
ATL,DTW,4861
DTW,ATL,4857
SFO,PHX,4856
DEN,IAH,4848
MKE,ORD,4826
ORD,MKE,4824
HNL,ITO,4794
ITO,HNL,4794
MCO,EWR,4790
EWR,MCO,4774
PHL,ORD,4759
ORD,CLT,4755
ORD,PHL,4744
ATL,RDU,4717
SAT,DFW,4715
MSP,ATL,4714
DFW,SAT,4714
ATL,MSP,4713
RDU,ATL,4712
ATL,BOS,4685
BOS,ATL,4682
AUS,DFW,4674
DFW,AUS,4672
CLT,ORD,4641
SAN,LAX,4619
LAX,EWR,4618
LAX,SAN,4611
EWR,LAX,4603
DFW,SFO,4555
SFO,DFW,4555
ATL,MDW,4544
MDW,ATL,4533
DFW,LGA,4521
LGA,DFW,4520
IAH,DEN,4513
SJU,JFK,4466
BOS,EWR,4463
JFK,SJU,4463
EWR,BOS,4442
JFK,FLL,4439
FLL,JFK,4432
IAH,LAX,4432
BOS,BWI,4431
DTW,LGA,4429
MCO,ORD,4427
LGA,DTW,4426
ORD,PHX,4419
ORD,MCO,4416
PHX,ORD,4416
BWI,BOS,4412
SFO,SNA,4314
SNA,SFO,4313
DCA,LGA,4303
LGA,DCA,4303
ORD,DTW,4301
IAH,ORD,4294
DFW,LAS,4289
LAS,DFW,4289
DTW,ORD,4274
ORD,LAS,4268
LAS,ORD,4249
LAX,IAH,4242
PBI,ATL,4197
ATL,PBI,4197
SFO,PDX,4197
SAN,DEN,4189
ORD,IAH,4186
PDX,SFO,4179
ORD,MIA,4166
MIA,ORD,4156
PHX,DFW,4146
EWR,CLT,4145
DFW,PHX,4144
CLE,ORD,4127
CLT,EWR,4120
CVG,ORD,4115
