Date, Time, Capacity
2022-01-01, 0, 34
2022-01-01, 1, 32
2022-01-01, 2, 32
2022-01-01, 3, 32
2022-01-01, 4, 32
2022-01-01, 5, 32
2022-01-01, 6, 32
2022-01-01, 7, 32
2022-01-01, 8, 33
2022-01-01, 9, 33
2022-01-01, 10, 37
2022-01-01, 11, 40
2022-01-01, 12, 40
2022-01-01, 13, 39
2022-01-01, 14, 37
2022-01-01, 15, 36
2022-01-01, 16, 36
2022-01-01, 17, 35
2022-01-01, 18, 33
2022-01-01, 19, 34
2022-01-01, 20, 33
2022-01-01, 21, 33
2022-01-01, 22, 31
2022-01-01, 23, 32
2022-01-02, 0, 32
2022-01-02, 1, 33
2022-01-02, 2, 33
2022-01-02, 3, 33
2022-01-02, 4, 32
2022-01-02, 5, 30
2022-01-02, 6, 29
2022-01-02, 7, 27
2022-01-02, 8, 26
2022-01-02, 9, 25
2022-01-02, 10, 25
2022-01-02, 11, 25
2022-01-02, 12, 26
2022-01-02, 13, 27
2022-01-02, 14, 27
2022-01-02, 15, 27
2022-01-02, 16, 25
2022-01-02, 17, 25
2022-01-02, 18, 24
2022-01-02, 19, 25
2022-01-02, 20, 26
2022-01-02, 21, 26
2022-01-02, 22, 26
2022-01-02, 23, 26
2022-01-03, 0, 26
2022-01-03, 1, 26
2022-01-03, 2, 27
2022-01-03, 3, 28
2022-01-03, 4, 29
2022-01-03, 5, 30
2022-01-03, 6, 30
2022-01-03, 7, 29
2022-01-03, 8, 29
2022-01-03, 9, 29
2022-01-03, 10, 30
2022-01-03, 11, 34
2022-01-03, 12, 39
2022-01-03, 13, 37
2022-01-03, 14, 34
2022-01-03, 15, 31
2022-01-03, 16, 29
2022-01-03, 17, 28
2022-01-03, 18, 29
2022-01-03, 19, 31
2022-01-03, 20, 30
2022-01-03, 21, 30
2022-01-03, 22, 31
2022-01-03, 23, 34
2022-01-04, 0, 36
2022-01-04, 1, 35
2022-01-04, 2, 35
2022-01-04, 3, 36
2022-01-04, 4, 34
2022-01-04, 5, 29
2022-01-04, 6, 29
2022-01-04, 7, 28
2022-01-04, 8, 26
2022-01-04, 9, 21
2022-01-04, 10, 19
2022-01-04, 11, 20
2022-01-04, 12, 28
2022-01-04, 13, 31
2022-01-04, 14, 31
2022-01-04, 15, 29
2022-01-04, 16, 31
2022-01-04, 17, 26
2022-01-04, 18, 21
2022-01-04, 19, 17
2022-01-04, 20, 15
2022-01-04, 21, 13
2022-01-04, 22, 12
2022-01-04, 23, 9
2022-01-05, 0, 7
2022-01-05, 1, 7
2022-01-05, 2, 6
2022-01-05, 3, 5
2022-01-05, 4, 4
2022-01-05, 5, 4
2022-01-05, 6, 2
2022-01-05, 7, 1
2022-01-05, 8, 1
2022-01-05, 9, 3
2022-01-05, 10, 2
2022-01-05, 11, 4
2022-01-05, 12, 6
2022-01-05, 13, 8
2022-01-05, 14, 7
2022-01-05, 15, 8
2022-01-05, 16, 7
2022-01-05, 17, 5
2022-01-05, 18, 4
2022-01-05, 19, 3
2022-01-05, 20, 2
2022-01-05, 21, 2
2022-01-05, 22, 0
2022-01-05, 23, 2
2022-01-06, 0, 1
2022-01-06, 1, 1
2022-01-06, 2, 4
2022-01-06, 3, 8
2022-01-06, 4, 11
2022-01-06, 5, 13
2022-01-06, 6, 13
2022-01-06, 7, 14
2022-01-06, 8, 14
2022-01-06, 9, 14
2022-01-06, 10, 14
2022-01-06, 11, 15
2022-01-06, 12, 17
2022-01-06, 13, 18
2022-01-06, 14, 18
2022-01-06, 15, 19
2022-01-06, 16, 20
2022-01-06, 17, 20
2022-01-06, 18, 21
2022-01-06, 19, 21
2022-01-06, 20, 23
2022-01-06, 21, 24
2022-01-06, 22, 28
2022-01-06, 23, 32
2022-01-07, 0, 38
2022-01-07, 1, 39
2022-01-07, 2, 36
2022-01-07, 3, 35
2022-01-07, 4, 36
2022-01-07, 5, 38
2022-01-07, 6, 38
2022-01-07, 7, 35
2022-01-07, 8, 34
2022-01-07, 9, 33
2022-01-07, 10, 32
2022-01-07, 11, 32
2022-01-07, 12, 33
2022-01-07, 13, 34
2022-01-07, 14, 34
2022-01-07, 15, 33
2022-01-07, 16, 32
2022-01-07, 17, 31
2022-01-07, 18, 30
2022-01-07, 19, 28
2022-01-07, 20, 27
2022-01-07, 21, 26
2022-01-07, 22, 25
2022-01-07, 23, 23
2022-01-08, 0, 21
2022-01-08, 1, 22
2022-01-08, 2, 24
2022-01-08, 3, 26
2022-01-08, 4, 28
2022-01-08, 5, 28
2022-01-08, 6, 27
2022-01-08, 7, 27
2022-01-08, 8, 27
2022-01-08, 9, 28
2022-01-08, 10, 28
2022-01-08, 11, 28
2022-01-08, 12, 29
2022-01-08, 13, 29
2022-01-08, 14, 30
2022-01-08, 15, 29
2022-01-08, 16, 29
2022-01-08, 17, 30
2022-01-08, 18, 33
2022-01-08, 19, 35
2022-01-08, 20, 35
2022-01-08, 21, 34
2022-01-08, 22, 34
