Days,PANDEM2 Outputs.confirmed cases,Hospital.total in hospital,Hospital.hospital admissions,Hospital.hospital discharges,Hospital.ICU admissions,Hospital.ICU discharges,Hospital.deaths in hospital,Hospital Resources.Beds,Hospital Resources.occupied ward beds,Hospital.physical ward beds available,Hospital.expected beds freed,Hospital.Patients Waiting for Ward Bed,Hospital.In Ward Overflow,Hospital.physical ward beds needed,Hospital.physical ward beds gap,Hospital Resources.max available nurses,Hospital Resources.Absent Nurses,Hospital Resources.Nurses,Hospital Resources.occupied nurses,Hospital Resources.available nurses,Hospital Resources.expected nurses freed,Hospital Resources.total nurses needed for incoming patients,Hospital Resources.nurses gap,Hospital Resources.extra staff needed for overflow patients,Hospital Resources.staffed ward beds available,Hospital Resources.staffed ward beds needed,Hospital Resources.staffed ward beds gap,Hospital.ward admissions,Hospital.moving to ward overflow,Hospital Resources.ICU Beds,Hospital Resources.occupied ICU beds,Hospital.physical ICU beds available,Hospital.expected ICU beds freed,Hospital.Patients Waiting for ICU,Hospital.In ICU Overflow,Hospital.physical ICU beds needed,Hospital.physical ICU beds gap,Hospital Resources.max available ICU nurses,Hospital Resources.Absent ICU Nurses,Hospital Resources.ICU Nurses,Hospital Resources.occupied ICU nurses,Hospital Resources.available ICU nurses,Hospital Resources.expected ICU nurses freed,Hospital Resources.total ICU nurses needed for incoming patients,Hospital Resources.ICU nurses gap,Ventilators.ventilators in stock,Ventilators.ventilators in use,Ventilators.ventilators available,Ventilators.expected ventilators freed,Ventilators.ventilators needed for incoming ICU patients,Ventilators.gap in ventilators,Hospital Resources.staffed equipped ICU beds available,Hospital Resources.staffed equipped ICU beds needed,Hospital Resources.staffed equipped ICU beds gap,Hospital.moving to ICU overflow,Hospital.at risk of dying from lack of ICU,PPE.PPE,PPE.PPE needed,PPE.PPE gap,PPE.total PPE used,PPE.interrupted PPE supply,Hospital.Total needed ICU,Hospital.Total ICU admissions,Hospital.Total needed Ward Bed,Hospital.Total Ward admissions,Hospital.Potential deaths due to lack of ICU,Hospital.total deaths,Hospital.peak ICU demand,Hospital.peak demand ICU beds,Hospital.peak demand ICU nurses,Hospital.peak demand ventilators,Hospital.peak ward demand,Hospital.peak demand ward beds,Hospital.peak demand nurses,Hospital.peak demand PPE,Hospital Resources.activate surge strategy 1,Hospital Resources.activate surge strategy 2,PPE.activate surge strategy 3,Hospital Resources.activate surge strategy 4
1,0.5,0,0,0,0,0,0,10000,0,10000,0,0,0,0,0,2500,0,2500,0,2500,0,0,0,0,10000,0,0,0,0,4000,0,4000,0,0,0,0,0,2000,0,2000,0,2000,0,0,0,2000,0,2000,0,0,0,3571.428571,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.335600273,0.000628114,0.005220587,0.0000249,0.0000414,0.000000424,0.00000111,10000,0.000104296,9999.999896,0.000000866,0.000473132,0,0.000473132,0,2500,0.00000147,2500,0.0000209,2500,0.000000173,0.0000946,0,0,10000,0.000473,0,0.000473,0,4000,0.00000933,4000,0.0000000293,0.0000414,0,0.0000414,0,2000,0.00000118,2000,0.00000466,2000,0.0000000146,0.0000207,0,2000,0.00000522,2000,0.0000000164,0.0000232,0,3570,0.0000414,0,0,0,41200,0.000704,0,0.000153297,0,0.0000508,0.00000948,0.000581866,0.000108734,0,0.000000182,0.0000412,0.0000412,0.0000206,0.0000231,0.000457796,0.000458,0.0000916,0.000560921,0,0,0,0
3,0.29423245,0.004098952,0.009424926,0.000304446,0.000221537,0.00000544,0.0000139,10000,0.001275165,9999.998725,0.0000258,0.002482553,0,0.002482553,0,2500,0.00000459,2499.999995,0.000255033,2499.99974,0.00000515,0.000497,0,0,9999.998725,0.00248,0,0.00248,0,4000,0.000119697,4000,0.000000904,0.000222,0,0.000221537,0,2000,0.00000367,2000,0.0000598,2000,0.000000452,0.000111,0,2000,0.000067,2000,0.000000506,0.000124061,0,3571.428453,0.000222,0,0,0,43500,0.004610803,0,0.002372222,0,0.000346041,0.000124503,0.003894748,0.001412195,0,0.00000573,0.000303573,0.000303573,0.000151786,0.000170001,0.003172021,0.003172021,0.000634404,0.003930953,0,0,0,0
4,0.319513292,0.01084892,0.013397249,0.001061353,0.000502836,0.0000201,0.0000498,10000,0.004445456,9999.995555,0.000145329,0.005458475,0,0.005458475,0,2500,0.00000823,2499.999992,0.000889091,2499.999103,0.0000291,0.00109,0,0,9999.995555,0.00546,0,0.00546,0,4000,0.000442153,4000,0.00000533,0.000503,0,0.000502836,0,2000,0.00000658,2000,0.000221076,2000,0.00000267,0.000251418,0,2000,0.000248,2000,0.00000299,0.000281588,0,3571.428135,0.000503,0,0,0,45400,0.012266403,0,0.010273264,0,0.000974477,0.000471642,0.010709203,0.005250728,0,0.0000343,0.000856819,0.000856819,0.00042841,0.000479819,0.008359815,0.008359815,0.001671963,0.010501862,0,0,0,0
5,0.385758378,0.020491669,0.017698802,0.002328522,0.00084668,0.000047,0.000113,10000,0.009752971,9999.990247,0.000442213,0.008858967,0,0.008858967,0,2500,0.0000121,2499.999988,0.001950594,2499.998037,0.0000884,0.001771793,0,0,9999.990247,0.00886,0,0.008858967,0,4000,0.00103305,4000,0.000017,0.000847,0,0.00084668,0,2000,0.00000972,2000,0.000516525,2000,0.00000852,0.00042334,0,2000,0.000579,2000,0.00000954,0.000474141,0,3571.427555,0.000847,0,0,0,46700,0.023311264,0,0.027450171,0,0.001977826,0.001131147,0.021168369,0.012309402,0,0.000111348,0.001713846,0.001713846,0.000856923,0.000959754,0.015584408,0.015584408,0.003116882,0.019869023,0,0,0,0
6,0.483587054,0.03277122,0.022761725,0.004064183,0.001246373,0.0000873,0.000203,10000,0.017022758,9999.982977,0.000981212,0.012580428,0,0.012580428,0,2500,0.0000165,2499.999984,0.003404552,2499.996579,0.000196242,0.002516086,0,0,9999.982977,0.012580428,0,0.012580428,0,4000,0.001921661,4000,0.0000398,0.001246373,0,0.001246373,0,2000,0.0000132,2000,0.00096083,2000,0.0000199,0.000623187,0,2000,0.00108,2000,0.0000223,0.000697969,0,3571.42669,0.00125,0,0,0,47700,0.037523271,0,0.057159686,0,0.00340658,0.002160207,0.035527271,0.022946843,0,0.000264082,0.002893283,0.002893283,0.001446641,0.001620238,0.02459519,0.02459519,0.004919038,0.031828396,0,0,0,0
7,0.612330273,0.047792627,0.028965473,0.006245169,0.001715135,0.000142645,0.000321807,10000,0.026157778,9999.973842,0.001807872,0.01678152,0,0.01678152,0,2500,0.0000215,2499.999979,0.005231556,2499.994747,0.000361574,0.003356304,0,0,9999.973842,0.01678152,0,0.01678152,0,4000,0.003138193,4000,0.0000772,0.001715135,0,0.001715135,0,2000,0.0000172,2000,0.001569097,2000,0.0000386,0.000857568,0,2000,0.001757388,2000,0.0000432,0.000960476,0,3571.42551,0.00172,0,0,0,48395.74345,0.05507262,0,0.102614358,0,0.00533485,0.003619715,0.054339937,0.037558417,0,0.00052032,0.004434153,0.004434153,0.002217076,0.002483126,0.035461534,0.035461534,0.007092307,0.046546916,0,0,0,0
8,0.776280439,0.066020723,0.036692875,0.008901144,0.002276581,0.000214903,0.000472232,10000,0.03728228,9999.962718,0.002959698,0.021734,0,0.021734,0,2500,0.0000275,2499.999973,0.007456456,2499.992516,0.00059194,0.0043468,0,0,9999.962718,0.021734,0,0.021734,0,4000,0.004727862,3999.995272,0.000133,0.002276581,0,0.002276581,0,2000,0.000022,2000,0.002363931,2000,0.0000664,0.00113829,0,2000,0.002647603,2000,0.0000744,0.001274885,0,3571.423976,0.00228,0,0,0,48887.49832,0.076527387,0,0.167386459,0,0.007865749,0.005589168,0.078495257,0.056761257,0,0.000909817,0.006399273,0.006399273,0.003199637,0.003583593,0.048533441,0.048533441,0.009706688,0.064531624,0,0,0,0
9,0.983030931,0.088237379,0.046371283,0.012118786,0.002961051,0.000307153,0.000659983,10000,0.050759311,9999.949241,0.004478739,0.027759654,0,0.027759654,0,2500,0.0000349,2499.999965,0.010151862,2499.989813,0.000895748,0.005551931,0,0,9999.949241,0.027759654,0,0.027759654,0,4000,0.006757363,3999.993243,0.000211,0.002961051,0,0.002961051,0,2000,0.0000279,2000,0.003378682,1999.996593,0.000105,0.001480525,0,2000,0.003784123,1999.996216,0.000117958,0.001658188,0,3571.422025,0.002961051,0,0,0,49238.57539,0.102814999,0,0.25578755,0,0.011136011,0.008174961,0.109232348,0.081472694,0,0.001466653,0.00887739,0.00887739,0.004438695,0.004971338,0.064390482,0.064390482,0.012878096,0.086583956,0,0,0,0
10,1.242928594,0.115517959,0.058505159,0.016037793,0.003805282,0.000423589,0.000893429,10000,0.067174002,9999.932826,0.006421676,0.035219728,0,0.035219728,0,2500,0.0000441,2499.999956,0.0134348,2499.986521,0.001284335,0.007043946,0,0,9999.932826,0.035219728,0,0.035219728,0,4000,0.009318947,3999.990681,0.000315239,0.003805282,0,0.003805282,0,2000,0.0000353,1999.999965,0.004659474,1999.995305,0.000158,0.001902641,0,2000,0.00521861,1999.994781,0.000176534,0.002130958,0,3571.419568,0.003805282,0,0,0,49489.19456,0.135204303,0,0.373216765,0,0.015322054,0.011516772,0.148173217,0.112953488,0,0.002231851,0.011986423,0.011986423,0.005993211,0.006712397,0.083817185,0.083817185,0.016763437,0.113783241,0,0,0,0
