location,date,total_cases,new_cases,new_cases_smoothed
Albania,2020-02-25,,,
Albania,2020-02-26,,,
Albania,2020-02-27,,,
Albania,2020-02-28,,,
Albania,2020-02-29,,,
Albania,2020-03-01,,,
Albania,2020-03-02,,,
Albania,2020-03-03,,,
Albania,2020-03-04,,,
Albania,2020-03-05,,,
Albania,2020-03-06,,,
Albania,2020-03-07,,,
Albania,2020-03-08,,,
Albania,2020-03-09,2,2,
Albania,2020-03-10,10,8,
Albania,2020-03-11,12,2,
Albania,2020-03-12,23,11,
Albania,2020-03-13,33,10,
Albania,2020-03-14,38,5,5.429
Albania,2020-03-15,42,4,6
Albania,2020-03-16,51,9,7
Albania,2020-03-17,55,4,6.429
Albania,2020-03-18,59,4,6.714
Albania,2020-03-19,64,5,5.857
Albania,2020-03-20,70,6,5.286
Albania,2020-03-21,76,6,5.429
Albania,2020-03-22,89,13,6.714
Albania,2020-03-23,104,15,7.571
Albania,2020-03-24,123,19,9.714
Albania,2020-03-25,146,23,12.429
Albania,2020-03-26,174,28,15.714
Albania,2020-03-27,186,12,16.571
Albania,2020-03-28,197,11,17.286
Albania,2020-03-29,212,15,17.571
Albania,2020-03-30,223,11,17
Albania,2020-03-31,243,20,17.143
Albania,2020-04-01,259,16,16.143
Albania,2020-04-02,277,18,14.714
Albania,2020-04-03,304,27,16.857
Albania,2020-04-04,333,29,19.429
Albania,2020-04-05,361,28,21.286
Albania,2020-04-06,377,16,22
Albania,2020-04-07,383,6,20
Albania,2020-04-08,400,17,20.143
Albania,2020-04-09,409,9,18.857
Albania,2020-04-10,416,7,16
Albania,2020-04-11,433,17,14.286
Albania,2020-04-12,446,13,12.143
Albania,2020-04-13,467,21,12.857
Albania,2020-04-14,475,8,13.143
Albania,2020-04-15,494,19,13.429
Albania,2020-04-16,518,24,15.571
Albania,2020-04-17,539,21,17.571
Albania,2020-04-18,548,9,16.429
Albania,2020-04-19,562,14,16.571
Albania,2020-04-20,584,22,16.714
Albania,2020-04-21,609,25,19.143
Albania,2020-04-22,634,25,20
Albania,2020-04-23,663,29,20.714
Albania,2020-04-24,678,15,19.857
Albania,2020-04-25,712,34,23.429
Albania,2020-04-26,726,14,23.429
Albania,2020-04-27,736,10,21.714
Albania,2020-04-28,750,14,20.143
Albania,2020-04-29,766,16,18.857
Albania,2020-04-30,773,7,15.714
Albania,2020-05-01,782,9,14.857
Albania,2020-05-02,789,7,11
Albania,2020-05-03,795,6,9.857
Albania,2020-05-04,803,8,9.571
Albania,2020-05-05,820,17,10
Albania,2020-05-06,832,12,9.429
Albania,2020-05-07,842,10,9.857
Albania,2020-05-08,850,8,9.714
Albania,2020-05-09,856,6,9.571
Albania,2020-05-10,868,12,10.429
Albania,2020-05-11,872,4,9.857
